,Shocks,PnL
0,-200,1.2375206970475037
1,-150,0.905010764886694
2,-100,0.5886054872054792
3,-50,0.2872567377379555
4,0,0.0
5,50,-0.2740533101585507
6,100,-0.5357227439972162
7,150,-0.7857650260456707
8,200,-1.0248796419499573
