Maturity,Yield,Years,Discount Factor,SpotRate
3M,3.83,0.25,0.990515811108635,3.885360352327405
6M,3.96,0.5,0.9805844283192783,3.9992040000000006
1Y,4.02,1.0,0.9613535858488752,4.020000000000001
