Years,Spot
0.25,3.830000000000045
0.3096192384769539,3.872707766961947
0.3692384769539078,3.907413519811686
0.4288577154308617,3.9350343928436304
0.48847695390781565,3.956487520352147
0.5480961923847696,3.9726900366316023
0.6077154308617234,3.9845590759763643
0.6673346693386774,3.9930117726808
0.7269539078156313,3.9989652610392765
0.7865731462925851,4.003336675346161
0.8461923847695391,4.0070431498958206
0.905811623246493,4.011001818982622
0.9654308617234468,4.016129816900935
1.0250501002004007,4.0233273818995094
1.0846693386773547,4.032909904529319
1.1442885771543085,4.044472241989311
1.2039078156312626,4.057564847454048
1.2635270541082164,4.071738174098094
1.3231462925851702,4.086542675096011
1.3827655310621243,4.101528803622361
1.4423847695390781,4.116247012851707
1.502004008016032,4.130247759120713
1.561623246492986,4.143173427503743
1.6212424849699398,4.154998888272348
1.6808617234468937,4.165774154819854
1.7404809619238477,4.175549240539587
1.8001002004008015,4.184374158824873
1.8597194388777554,4.19229892306904
1.9193386773547094,4.199373546665412
1.9789579158316633,4.205648043007318
2.038577154308617,4.211171393093578
2.098196392785571,4.215979680360434
2.157815631262525,4.220100221035202
2.2174348697394786,4.2235601638040965
2.277054108216433,4.226386657353328
2.3366733466933867,4.228606850369112
2.3962925851703405,4.23024789153766
2.4559118236472943,4.231336929545185
2.5155310621242486,4.231901319314288
2.5751503006012024,4.231990955187696
2.6347695390781563,4.231698264034038
2.69438877755511,4.231120390399277
2.754008016032064,4.230354478829379
2.8136272545090177,4.229497673870309
2.873246492985972,4.228647120068032
2.932865731462926,4.227899961968513
2.9924849699398797,4.227353344117716
3.0521042084168335,4.227092281400732
3.1117234468937873,4.227130726057254
3.171342685370741,4.22745683034126
3.2309619238476954,4.2280587101133476
3.2905811623246493,4.228924481234116
3.350200400801603,4.230042259564163
3.409819639278557,4.231400160964087
3.4694388777555107,4.232986301294485
3.5290581162324646,4.234788884653736
3.588677354709419,4.236798269974704
3.6482965931863727,4.239007043062758
3.7079158316633265,4.241407892373543
3.7675350701402803,4.243993506362704
3.827154308617234,4.246756573485886
3.886773547094188,4.249689782198735
3.9463927855711423,4.252785820956897
4.006012024048096,4.256037377978599
4.06563126252505,4.259436833557207
4.125250501002004,4.2629756552762705
4.184869739478957,4.266645142405607
4.244488977955912,4.270436594215032
4.304108216432866,4.274341309974368
4.363727454909819,4.27835058895343
4.423346693386773,4.282455730422035
4.482965931863728,4.286648033650004
4.542585170340681,4.2909188025252005
4.602204408817635,4.295259386303191
4.661823647294589,4.299661159989772
4.721442885771543,4.304115498886296
4.781062124248497,4.3086137782941165
4.840681362725451,4.313147373514587
4.900300601202405,4.317707659849061
4.959919839679358,4.32228601259889
5.0195390781563125,4.326873848967148
5.079158316633266,4.331465204730857
5.13877755511022,4.336058235694944
5.198396793587174,4.340651459330601
5.258016032064128,4.3452433931090235
5.317635270541082,4.349832554501403
5.3772545090180355,4.354417460978931
5.43687374749499,4.358996630012802
5.496492985971944,4.363568579074209
5.556112224448897,4.368131824424246
5.615731462925852,4.3726848765474005
5.675350701402805,4.377226244206364
5.734969939879759,4.381754436163539
5.794589178356713,4.386267961181328
5.854208416833667,4.390765328022128
5.913827655310621,4.39524504544834
5.973446893787575,4.399705622222368
6.033066132264529,4.4041455651402615
6.092685370741482,4.408563345557896
6.152304609218437,4.412957404101389
6.211923847695391,4.417326180378604
6.271543086172344,4.4216681139973995
6.3311623246492985,4.42598164456564
6.390781563126252,4.430265211691186
6.450400801603206,4.434517254981901
6.51002004008016,4.438736213991933
6.569639278557114,4.442920510459
6.629258517034068,4.4470685226204925
6.6888777555110215,4.451178622199196
6.748496993987976,4.455249180917899
6.808116232464929,4.45927857049939
6.867735470941883,4.463265162666455
6.927354709418838,4.4672073291418855
6.986973947895791,4.471103441648466
7.046593186372745,4.474952109367899
7.106212424849699,4.478753804500371
7.165831663326653,4.4825098784935555
7.225450901803607,4.486221687983833
7.285070140280561,4.4898905896075885
7.344689378757515,4.493517940001206
7.404308617234468,4.497105095801069
7.463927855711423,4.500653413643559
7.523547094188376,4.504164250696944
7.58316633266533,4.507638985435883
7.6427855711422845,4.5110790243826075
7.702404809619238,4.514485775971482
7.762024048096192,4.517860648636869
7.821643286573146,4.5212050508131325
7.8812625250501,4.5245203909346365
7.940881763527054,4.527808077435746
8.000501002004007,4.531069518750827
8.060120240480963,4.5343061303982335
8.119739478957914,4.537519355526892
8.17935871743487,4.540710644021405
8.238977955911825,4.54388144576637
8.298597194388778,4.547033210646392
8.358216432865731,4.550167388546066
8.417835671342685,4.553285429349994
8.477454909819638,4.556388782942776
8.537074148296593,4.559478901207215
8.596693386773547,4.562557263483305
8.6563126252505,4.565625369064484
8.715931863727455,4.568684717693537
8.775551102204409,4.571736809113249
8.835170340681362,4.574783143066406
8.894789579158315,4.57782521929579
8.95440881763527,4.5808645375441905
9.014028056112224,4.583902597664863
9.073647294589177,4.586940915054919
9.133266533066132,4.589981036547861
9.192885771543086,4.593024512769506
9.25250501002004,4.596072894345678
9.312124248496994,4.599127731902198
9.371743486973948,4.602190576064884
9.431362725450901,4.60526297745956
9.490981963927855,4.608346486712044
9.55060120240481,4.611442661188832
9.610220440881763,4.6145531009575205
9.669839679358716,4.6176794227559865
9.729458917835672,4.620823243360257
9.789078156312625,4.623986179546363
9.848697394789578,4.627169848090335
9.908316633266532,4.630375865768201
9.967935871743487,4.633605849355992
10.02755511022044,4.636861385695814
10.087174348697394,4.64014323355095
10.146793587174349,4.643451237715166
10.206412825651302,4.646785195817694
10.266032064128256,4.650144905487758
10.32565130260521,4.653530164354589
10.385270541082164,4.65694077004742
10.444889779559118,4.660376520195476
10.504509018036071,4.663837212427342
10.564128256513026,4.6673226425101015
10.62374749498998,4.670832600268779
10.683366733466933,4.674366874345315
10.742985971943888,4.677925253381656
10.802605210420841,4.6815075260197405
10.862224448897795,4.685113480901514
10.921843687374748,4.688742906668916
10.981462925851703,4.692395591963891
11.041082164328657,4.69607132534615
11.10070140280561,4.6997698944932305
11.160320641282565,4.703491086546695
11.219939879759519,4.70723468864055
11.279559118236472,4.711000487908803
11.339178356713425,4.714788271485461
11.39879759519038,4.718597826504533
11.458416833667334,4.7224289401000235
11.518036072144287,4.726281399381229
11.577655310621243,4.730154989583783
11.637274549098196,4.7340494927888574
11.69689378757515,4.737964690774753
11.756513026052104,4.7419003653197676
11.816132264529058,4.745856298202203
11.875751503006011,4.74983227120036
11.935370741482965,4.753828066092535
11.99498997995992,4.757843464657031
12.054609218436873,4.761878247890401
12.114228456913827,4.765932192761503
12.173847695390782,4.7700050749457565
12.233466933867735,4.77409667011798
12.293086172344688,4.778206753952991
12.352705410821642,4.782335102125606
12.412324649298597,4.786481490310643
12.47194388777555,4.790645694182921
12.531563126252504,4.794827489227629
12.591182364729459,4.799026647116598
12.650801603206412,4.803242935990019
12.710420841683366,4.807476123854894
12.77004008016032,4.811725978718229
12.829659318637274,4.815992268587029
12.889278557114228,4.8202747614682995
12.948897795591181,4.824573225369045
13.008517034068136,4.82888742829188
13.06813627254509,4.833217136009023
13.127755511022043,4.837562108440092
13.187374749498998,4.84192210455635
13.246993987975952,4.846296883329058
13.306613226452905,4.850686203729475
13.366232464929858,4.855089824728866
13.425851703406813,4.85950750529849
