,Years,Discount Factor,Spot Rate
0,0.25,0.9905524285828444,3.8699999999999735
1,0.5,0.9804864026843388,4.019999999999979
2,1.0,0.9607993850883936,4.079999999999995
3,1.5,0.9400808288403344,4.205314633546919
4,2.0,0.919051102581163,4.31101463075092
5,2.5,0.8988760326012213,4.356638121313283
6,3.0,0.8797711513374853,4.362248557378523
7,3.5,0.8610417506521753,4.367315142862016
8,4.0,0.8424323225260703,4.379748142308149
9,4.5,0.8238677386293402,4.39947964283931
10,5.0,0.8052796528634825,4.426483786494129
11,5.5,0.7866273800374057,4.4602546528555775
12,6.0,0.7679738343616855,4.498228805423254
13,6.5,0.7494421687379218,4.53724672248792
14,7.0,0.7311942108594887,4.574041750904234
15,7.5,0.7133873250437072,4.606004642801542
16,8.0,0.6960355653386515,4.633576694990649
17,8.5,0.6791005290070881,4.658007548112741
18,9.0,0.66252866334532,4.680586576792245
19,9.5,0.6462525555933827,4.702645590059418
20,10.0,0.6301921594165291,4.725562193660338
21,10.5,0.614272382746505,4.750497958225486
22,11.0,0.5984778117983219,4.777578845824171
23,11.5,0.582810812932219,4.80666561570573
24,12.0,0.5672758294765166,4.8376176446395025
25,12.5,0.5518792165068455,4.870291908952518
26,13.0,0.5366290795101167,4.904542009470103
27,13.5,0.5215351169647322,4.940217208751463
28,14.0,0.5066084669487527,4.9771614584148915
29,14.5,0.4918615579563638,5.015212400445557
30,15.0,0.4773079641604958,5.054200331083836
31,15.5,0.4629622654063836,5.09394711982909
32,16.0,0.448839912257742,5.134265079712841
33,16.5,0.4349570964446299,5.174955788648727
34,17.0,0.42133062708061836,5.215808865639371
35,17.5,0.4079778130271848,5.256600710166337
36,18.0,0.39491635178601014,5.2970932184358555
37,18.5,0.38216422529580285,5.337032496510297
38,19.0,0.36973960300012093,5.376147597904946
39,19.5,0.35766075253724444,5.414149322121742
40,20.0,0.3459459583832388,5.4507291209035635
41,20.5,0.3346134487557936,5.485558170717764
42,21.0,0.3236813310600689,5.518286682952445
43,21.5,0.3131675361294738,5.5485435371767755
44,22.0,0.30308977148490784,5.575936336944154
45,22.5,0.29346548380637405,5.600052001022804
46,23.0,0.28431183078184213,5.620458014227392
47,23.5,0.275645662470683,5.636704469332421
48,24.0,0.26748351229364964,5.648327032534839
49,24.5,0.2598415977391258,5.654850956860358
50,25.0,0.25273583085689816,5.655796247803124
51,25.5,0.24618183859681986,5.650684050480503
52,26.0,0.2401949930411309,5.639044275381266
53,26.5,0.2347904515765951,5.620424409315028
54,27.0,0.22998320705667924,5.594399370343361
55,27.5,0.2257881480154405,5.560582163894656
56,28.0,0.2222201290142466,5.518634988803783
57,28.5,0.2192940512306522,5.468280336901632
58,29.0,0.2170249534363267,5.409311541068562
59,29.5,0.2154281135587464,5.341602168884707
60,30.0,0.21451916108000035,5.26511364600295
